iter	Passed	Remaining
0	0	388
1	1	352
2	2	351
3	2	354
4	3	360
5	4	374
6	5	369
7	5	363
8	6	362
9	7	359
10	8	357
11	8	356
12	9	362
13	10	360
14	11	360
15	11	359
16	12	356
17	13	354
18	14	355
19	14	352
20	15	350
21	16	349
22	16	348
23	17	346
24	18	346
25	18	345
26	19	347
27	20	345
28	21	344
29	21	342
30	22	340
31	23	337
32	23	335
33	24	335
34	25	334
35	25	333
36	26	331
37	27	330
38	27	329
39	28	328
40	29	326
41	29	325
42	30	323
43	31	322
44	31	320
45	32	319
46	33	318
47	33	317
48	34	315
49	34	314
50	35	313
51	36	311
52	36	310
53	37	309
54	38	307
55	38	306
56	39	305
57	39	304
58	40	303
59	41	302
60	41	301
61	42	300
62	43	300
63	44	299
64	44	298
65	45	298
66	46	297
67	46	296
68	47	295
69	48	295
70	48	294
71	49	293
72	49	292
73	50	291
74	51	290
75	51	289
76	52	288
77	53	287
78	53	286
79	54	285
80	55	284
81	55	283
82	56	282
83	56	282
84	57	281
85	58	280
86	58	279
87	59	278
88	60	278
89	60	277
90	61	276
91	62	275
92	62	274
93	63	273
94	64	272
95	64	272
96	65	271
97	65	270
98	66	269
99	67	269
100	67	268
101	68	267
102	69	266
103	69	265
104	70	264
105	71	264
106	71	263
107	72	262
108	72	261
109	73	261
110	74	260
111	75	259
112	75	259
113	76	258
114	77	258
115	77	257
116	78	256
117	79	256
118	79	255
119	80	255
120	81	254
121	82	254
122	82	253
123	83	253
124	84	252
125	84	252
126	85	251
127	86	250
128	86	249
129	87	248
130	88	248
131	88	247
132	89	246
133	90	246
134	90	245
135	91	244
136	92	244
137	92	243
138	93	243
139	94	242
140	95	241
141	95	241
142	96	240
143	96	239
144	97	238
145	98	238
146	98	237
147	99	237
148	100	236
149	101	236
150	101	235
151	102	234
152	103	234
153	104	233
154	104	233
155	105	232
156	106	231
157	106	231
158	107	230
159	108	229
160	108	229
161	109	228
162	110	227
163	110	227
164	111	226
165	112	226
166	113	225
167	113	224
168	114	224
169	115	223
170	115	222
171	116	221
172	116	221
173	117	220
174	118	219
175	118	218
176	119	218
177	120	217
178	120	216
179	121	216
180	122	215
181	123	215
182	123	214
183	124	214
184	125	213
185	126	212
186	126	212
187	127	211
188	128	210
189	128	209
190	129	209
191	129	208
192	130	207
193	131	206
194	131	206
195	132	205
196	132	204
197	133	203
198	134	203
199	134	202
200	135	201
201	136	200
202	136	200
203	137	199
204	138	199
205	139	198
206	139	198
207	140	197
208	141	196
209	142	196
210	142	195
211	143	194
212	144	194
213	144	193
214	145	193
215	146	192
216	146	191
217	147	190
218	148	190
219	148	189
220	149	188
221	150	188
222	151	187
223	151	187
224	152	186
225	153	185
226	153	185
227	154	184
228	155	183
229	155	182
230	156	182
231	157	181
232	157	180
233	158	179
234	158	179
235	159	178
236	160	177
237	160	177
238	161	176
239	162	175
240	163	175
241	163	174
242	164	173
243	165	173
244	165	172
245	166	172
246	167	171
247	168	170
248	168	170
249	169	169
250	170	168
251	171	168
252	171	167
253	172	167
254	173	166
255	173	165
256	174	165
257	175	164
258	175	163
259	176	162
260	177	162
261	177	161
262	178	160
263	179	160
264	180	159
265	180	158
266	181	158
267	182	157
268	182	156
269	183	156
270	184	155
271	184	154
272	185	154
273	186	153
274	187	153
275	187	152
276	188	151
277	189	151
278	189	150
279	190	149
280	191	148
281	191	148
282	192	147
283	192	146
284	193	146
285	194	145
286	194	144
287	195	144
288	196	143
289	197	142
290	197	141
291	198	141
292	198	140
293	199	139
294	200	139
295	200	138
296	201	137
297	202	137
298	203	136
299	203	135
300	204	135
301	205	134
302	206	133
303	206	133
304	207	132
305	208	132
306	209	131
307	209	130
308	210	130
309	211	129
310	211	128
311	212	128
312	213	127
313	213	126
314	214	125
315	215	125
316	215	124
317	216	123
318	217	123
319	217	122
320	218	121
321	219	121
322	219	120
323	220	119
324	221	119
325	221	118
326	222	117
327	223	116
328	223	116
329	224	115
330	225	114
331	225	114
332	226	113
333	227	112
334	227	112
335	228	111
336	229	110
